Institution Name (RSSD ID),Location,06/30/2015 Total Assets
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",35417458
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",35216517
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",35183677
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",33760498
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",30896855
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",30846158
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",30064322
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",28205870
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",27802644
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",27185145
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",26353405
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",25928156
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",25301876
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",25241144
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",24805596
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",24120491
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",23721613
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",23644664
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",22805994
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",22597143
IMB HOLDCO LLC (3923614),"PASADENA, CA",21707102
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",21687419
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",21550936
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",21401793
"MACY'S, INC. (4103310)","CINCINNATI, OH",21175196
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",20816905
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",19954834
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",19851826
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",19290005
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",19238928
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18659693
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",18418727
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",17817384
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",17624149
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17322400
PACWEST BANCORP (2875332),"LOS ANGELES, CA",16699159
F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",16598601
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",16225895
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",15429891
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",15336181
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15295356
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",15172163
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",15018194
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",14581780
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14370496
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13636675
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",13470104
FIRST BANCORP (2744894),"SAN JUAN, PR",12578813
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",12477198
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",12414566
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",12259463
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12182448
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",12139403
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",12075892
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12074129
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",11918316
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11775081
MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",11682787
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",11674358
STERLING BANCORP (3083291),"MONTEBELLO, NY",11568014
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",11439631
"NORDSTROM, INC. (1760589)","SEATTLE, WA",11051860
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10887809
NATIONAL AMERICAS HOLDINGS LLC (3719965),"NEW YORK, NY",10220212
STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO",10139542
BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",10063759
