Institution Name (RSSD ID),Location,06/30/2015 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2447994000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2152082000
CITIGROUP INC. (1951350),"NEW YORK, NY",1829370000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1720617000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",859932000
MORGAN STANLEY (2162966),"NEW YORK, NY",825755000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",466871489
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",419075000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",395254000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",354201925
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",310636497
STATE STREET CORPORATION (1111435),"BOSTON, MA",294570652
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",277249331
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",266931428
TD BANK US HOLDING COMPANY (1249196),"CHERRY HILL, NJ",253195880
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",191017482
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",189107850
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",163627000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",157141000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",156472000
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",141658130
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",139365889
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",137564322
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",134222822
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",126316164
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",121967042
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",119942945
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",118131486
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",114265672
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",97080076
KEYCORP (1068025),"CLEVELAND, OH",94674550
BANCWEST CORPORATION (1025608),"HONOLULU, HI",91200312
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",88470749
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",84911199
COMERICA INCORPORATED (1199844),"DALLAS, TX",70053205
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",68845648
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",58365459
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",58202000
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",48648532
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",47117894
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",46657160
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",40244261
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",39069002
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",37154644
"POPULAR, INC. (1129382)","SAN JUAN, PR",36750000
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",35438759
