Institution Name (RSSD ID),Location,03/31/2016 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2423808000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2188633000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1849182000
CITIGROUP INC. (1951350),"NEW YORK, NY",1800967000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",878102000
MORGAN STANLEY (2162966),"NEW YORK, NY",807497000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",428638000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",372870000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",361187040
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",330489235
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",289057276
"GE CAPITAL GLOBAL HOLDINGS, LLC (4932239)","NORWALK, CT",287622464
TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",274386676
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",272101594
STATE STREET CORPORATION (1111435),"BOSTON, MA",243685368
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",212405266
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",194253274
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",190998000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",158804000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",156505000
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",142430207
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",142123097
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",141283619
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",140409385
RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY",139892217
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",131098910
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",125793219
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",125747379
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",124625632
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",120914763
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",117798813
KEYCORP (1068025),"CLEVELAND, OH",98570702
BANCWEST CORPORATION (1025608),"HONOLULU, HI",96194245
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",92152260
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",88093339
SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT",81655558
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",72644967
COMERICA INCORPORATED (1199844),"DALLAS, TX",69131436
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",67188228
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",59179913
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",53106000
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",48515572
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",47943401
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",43597787
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",40078307
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",39243916
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",37383572
"POPULAR, INC. (1129382)","SAN JUAN, PR",36147000
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",35947340
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",34750522
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",33109185
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",32195657
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",31450894
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",29374606
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",29171257
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",28477488
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",28178867
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",27751661
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",26965746
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",26641399
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",26083503
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",25082990
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",24937488
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",24819488
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",24519161
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",23935765
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",23492196
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",22857531
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",22817169
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",22067070
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",21727523
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",21333329
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",21200387
PACWEST BANCORP (2875332),"BEVERLY HILLS, CA",21031465
"MACY'S, INC. (4103310)","CINCINNATI, OH",20575872
