Institution Name (RSSD ID),Location,03/31/2016 Total Assets
F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",20324524
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",20210931
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",20092563
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",19302913
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",18509333
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",18081922
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",17667372
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",16434884
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",16074822
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",15705449
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",15575653
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",15248039
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15023537
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",14850115
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14670823
STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO",14213728
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13925516
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",13736630
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",13262019
STERLING BANCORP (3083291),"MONTEBELLO, NY",12874990
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",12859663
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12775196
FIRST BANCORP (2744894),"SAN JUAN, PR",12714370
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",12606884
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",12466521
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",12106043
MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",11988136
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",11932374
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",11878689
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",11870506
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",11731928
BANK OF THE OZARKS INC (1097089),"LITTLE ROCK, AR",11427419
BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",10929047
"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL",10728922
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10182556
