Institution Name (RSSD ID),Location,03/31/2015 Total Assets
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",25716964
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",25221666
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",25125546
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",24965509
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",24060276
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",23463270
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",23347219
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",23115627
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",22961973
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",21608960
"MACY'S, INC. (4103310)","CINCINNATI, OH",21460706
IMB HOLDCO LLC (3923614),"PASADENA, CA",21341478
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",20728010
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",20392598
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",19999495
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",19983395
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",19298905
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",18980010
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18697294
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",17325504
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17315750
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",17163986
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",16730123
PACWEST BANCORP (2875332),"LOS ANGELES, CA",16644622
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",16420009
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",16361348
F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",16278848
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",15844167
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15535572
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",15206800
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",15092422
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14611019
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",14328310
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",14324798
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13635049
FIRST BANCORP (2744894),"SAN JUAN, PR",13147919
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",12562893
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12374402
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12179164
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",12141519
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",12133651
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",11951362
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",11910089
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11882771
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",11621045
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",11571146
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",11273447
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",11251943
MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",10843278
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10826914
"NORDSTROM, INC. (1760589)","SEATTLE, WA",10724941
"CAPITOL FEDERAL FINANCIAL, INC. (4226910)","TOPEKA, KS",10040460
