Institution Name (RSSD ID),Location,03/31/2015 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2577148000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2145027000
CITIGROUP INC. (1951350),"NEW YORK, NY",1831801000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1737737000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",865512000
MORGAN STANLEY (2162966),"NEW YORK, NY",829099000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",481614979
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",410233000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",392337000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",351162105
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",306501324
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",301956685
STATE STREET CORPORATION (1111435),"BOSTON, MA",279480161
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",264300422
TD BANK US HOLDING COMPANY (1249196),"CHERRY HILL, NJ",252650828
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",190223316
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",189227838
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",160169000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",154674000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",153524000
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",140469916
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",139397321
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",136905651
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",132978355
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",123425703
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",122515877
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",118263888
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",113697697
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",106952000
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",98379397
KEYCORP (1068025),"CLEVELAND, OH",94296497
BANCWEST CORPORATION (1025608),"HONOLULU, HI",89669872
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",85485851
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",84177508
COMERICA INCORPORATED (1199844),"DALLAS, TX",69420233
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",68002661
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",57555931
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",55615500
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",48251715
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",46828405
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",46416005
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",38912925
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",38619411
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",36406341
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",36244050
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",36129290
"POPULAR, INC. (1129382)","SAN JUAN, PR",35625000
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",35586515
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",34987245
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",34189333
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",32698899
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",30853649
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",30371794
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",29907424
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",28196667
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",27633784
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",27088806
