Institution Name (RSSD ID),Location,12/31/2015 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2351698000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2147391000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1787632000
CITIGROUP INC. (1951350),"NEW YORK, NY",1731210000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",861419000
MORGAN STANLEY (2162966),"NEW YORK, NY",787465000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",421853000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",393780000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",358690085
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",334179916
"GE CAPITAL GLOBAL HOLDINGS, LLC (4932239)","NORWALK, CT",318826145
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",271888608
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",270094423
TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",267143521
STATE STREET CORPORATION (1111435),"BOSTON, MA",245198879
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",209947022
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",190989105
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",183718000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",161172000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",158581000
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",141082059
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",138574068
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",138494733
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",137186701
RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY",133133492
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",127633001
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",126234344
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",125656772
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",122787884
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",116749572
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",116210191
KEYCORP (1068025),"CLEVELAND, OH",95270648
BANCWEST CORPORATION (1025608),"HONOLULU, HI",95099966
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",89967342
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",86936159
SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT",84135487
COMERICA INCORPORATED (1199844),"DALLAS, TX",71983051
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",71044551
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",67498790
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",59669525
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",53554000
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",50317796
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",45426559
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",44698667
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",39925857
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",38873893
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",35923712
"POPULAR, INC. (1129382)","SAN JUAN, PR",35769000
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",35629398
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",33532782
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",32351172
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",31495590
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",31475934
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",28792653
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",28603199
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",27998160
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",27715021
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",26903571
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",26601026
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",26196388
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",25782912
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",25537212
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",24694548
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",24625092
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",23883467
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",23387248
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",22926284
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",22848776
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",22556564
"MACY'S, INC. (4103310)","CINCINNATI, OH",22085979
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",22039116
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",21612616
PACWEST BANCORP (2875332),"LOS ANGELES, CA",21288975
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",20898693
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",20703190
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",19504068
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",19094245
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",18909174
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",18346653
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17867010
F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",17557662
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",17259421
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",15864120
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",15585007
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",15553681
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",15501362
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15076211
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",14754514
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14684899
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",14275089
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13802637
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",13714830
STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO",13335915
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",13254126
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",12795071
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12678896
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",12577944
FIRST BANCORP (2744894),"SAN JUAN, PR",12573019
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",12390594
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",12041047
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",11991556
STERLING BANCORP (3083291),"MONTEBELLO, NY",11958682
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",11867001
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",11790196
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",11772869
MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",11605700
"NORDSTROM, INC. (1760589)","SEATTLE, WA",11419552
BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",10723184
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10092985
