Institution Name (RSSD ID),Location,03/31/2014 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2476650000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2152533000
CITIGROUP INC. (1951350),"NEW YORK, NY",1894390000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1546707000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",915705000
MORGAN STANLEY (2162966),"NEW YORK, NY",831338000
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY",547111000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",516913616
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",371289000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",368241000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",323586973
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",308847926
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",290886180
STATE STREET CORPORATION (1111435),"BOSTON, MA",256672720
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",252936464
TD BANK US HOLDING COMPANY (1249196),"CHERRY HILL, NJ",237493754
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",184651158
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",179553408
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",151497000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",148452000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",144066000
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",132022280
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",129654487
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",127322366
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",127295624
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",118136516
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",114499474
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",109168077
UNIONBANCAL CORPORATION (1378434),"SAN FRANCISCO, CA",107237659
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",103832578
KEYCORP (1068025),"CLEVELAND, OH",90928218
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",88530360
BANCWEST CORPORATION (1025608),"HONOLULU, HI",84945155
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",79583709
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",74957227
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",72603000
COMERICA INCORPORATED (1199844),"DALLAS, TX",65832917
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",61145753
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",56080844
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",48578081
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",47567470
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",46438440
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",45551256
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",38231106
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",37996061
"POPULAR, INC. (1129382)","SAN JUAN, PR",36744000
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",33333935
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",33288652
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",33101545
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",32872949
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",29851542
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",29724778
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",27401438
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",27365683
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",26435426
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",25852820
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",24806197
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",24715220
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",24500602
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",23942809
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",22868902
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",22820527
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",22154997
IMB HOLDCO LLC (3923614),"PASADENA, CA",21807098
"MACY'S, INC. (4103310)","CINCINNATI, OH",21633260
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",21182781
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",20089504
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",19020567
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",18921328
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",18815947
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18435035
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",18221163
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",17630948
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",16884185
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",16573510
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ",16371463
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",16344464
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA",16023672
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",15945830
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",15751652
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15699906
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",14556251
F.N.B. CORPORATION (3005332),"HERMITAGE, PA",14476510
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14364599
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",14333411
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",14304782
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",14009813
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",13587385
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",13550924
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13148062
FIRST BANCORP (2744894),"SAN JUAN, PR",12819428
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12144185
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",12143691
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12057054
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",11886320
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",11846183
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11575745
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11534400
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",11291188
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",10793363
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",10458070
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10406821
STERLING FINANCIAL CORPORATION (3152245),"SPOKANE, WA",10240431
