Institution Name (RSSD ID),Location,06/30/2016 Total Assets
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",24726507
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",24427295
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",24132600
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",23071656
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",22466924
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",21880979
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",21809738
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",21733831
F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",21214967
PACWEST BANCORP (2875332),"BEVERLY HILLS, CA",21147143
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",21081736
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",21081024
"MACY'S, INC. (4103310)","CINCINNATI, OH",20197613
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",20160855
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",19734076
"FIRST HAWAIIAN, INC. (1025608)","HONOLULU, HI",19052593
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",18783090
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",18433910
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",18169191
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",16728767
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",16634738
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",16235257
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",15995790
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",15916031
STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO",15248777
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",15097370
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15017071
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14821600
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",14420599
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",14338012
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",14130157
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",13723711
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",13493177
STERLING BANCORP (3083291),"MONTEBELLO, NY",13089172
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",13077902
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",13030349
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",12884030
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",12624307
FIRST BANCORP (2744894),"SAN JUAN, PR",12508702
MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",12301042
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",12292830
BANK OF THE OZARKS INC (1097089),"LITTLE ROCK, AR",12279579
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",11979239
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",11776640
"GREAT WESTERN BANCORP, INC. (4809920)","SIOUX FALLS, SD",11453222
BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",11340612
"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL",10995810
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10264654
"BANC OF CALIFORNIA, INC. (3153130)","IRVINE, CA",10157662
EASTERN BANK CORPORATION (1427239),"BOSTON, MA",10025463
