Institution Name (RSSD ID),Location,06/30/2016 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2466096000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2189811000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1889235000
CITIGROUP INC. (1951350),"NEW YORK, NY",1818771000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",896870000
MORGAN STANLEY (2162966),"NEW YORK, NY",828873000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",438463000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",372351000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",361528406
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",339247718
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",295534689
TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",276317370
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",276045408
STATE STREET CORPORATION (1111435),"BOSTON, MA",255396733
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",221858615
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",199276480
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",198052000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",159632000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",157931000
RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY",151710605
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",145568297
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",144819412
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",143801553
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",143625325
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",132007952
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",126502203
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",126378482
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",123820584
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",121509559
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",117205079
KEYCORP (1068025),"CLEVELAND, OH",101406977
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",91753156
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",87511328
SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT",82384173
BANCWEST HOLDING INC. (4989420),"SAN FRANCISCO, CA",80624408
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",73954016
COMERICA INCORPORATED (1199844),"DALLAS, TX",71440155
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",66783624
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",59642992
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",54629000
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",49202038
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",49035747
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",43147945
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",40120118
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",39998293
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",38009856
"POPULAR, INC. (1129382)","SAN JUAN, PR",37606000
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",36667697
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",35453189
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",32952138
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",32230403
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",32050291
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",29672671
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",29459691
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",29038699
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",29014585
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",28841247
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",27541899
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",27354310
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",26309192
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",26153691
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",25363698
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",25131298
