Institution Name (RSSD ID),Location,09/30/2013 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2463309000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2128706000
CITIGROUP INC. (1951350),"NEW YORK, NY",1899511000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1488055000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",923359000
MORGAN STANLEY (2162966),"NEW YORK, NY",832223000
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY",540744000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",528643825
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",371957000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",360681000
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",309312154
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",308912603
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",290217687
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",247467518
TD BANK US HOLDING COMPANY (1249196),"PORTLAND, ME",231673130
STATE STREET CORPORATION (1111435),"BOSTON, MA",216751956
"PRINCIPAL FINANCIAL GROUP, INC. (3853449)","DES MOINES, IA",201687384
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",181050008
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",172033106
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",150556000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",150152000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",140211000
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",124939419
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",124091801
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",121758503
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",120738247
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",116937255
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",113051766
UNIONBANCAL CORPORATION (1378434),"SAN FRANCISCO, CA",105492129
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",95969501
KEYCORP (1068025),"CLEVELAND, OH",91016413
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",84427485
BANCWEST CORPORATION (1025608),"HONOLULU, HI",81729444
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",77070780
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",75544201
THRIVENT FINANCIAL FOR LUTHERANS (3173736),"MINNEAPOLIS, MN",70540953
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",70087078
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",66067000
COMERICA INCORPORATED (1199844),"DALLAS, TX",64723310
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",56648251
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",55188312
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",52259755
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",46223981
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",45764133
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",45547479
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",39186560
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",37380836
"POPULAR, INC. (1129382)","SAN JUAN, PR",36052000
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",32483356
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",32117623
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",31546545
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",31497138
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",29059404
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",27174025
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",26218360
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",24752027
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",24493454
IMB HOLDCO LLC (3923614),"PASADENA, CA",24269655
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",24194150
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",24140030
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",23757075
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",23688675
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",23566006
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",23186120
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",22462282
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",21511352
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",21025405
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",20614348
"MACY'S, INC. (4103310)","CINCINNATI, OH",20430578
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",18820201
AMERITAS MUTUAL HOLDING COMPANY (3910641),"LINCOLN, NE",18787220
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18481150
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",18417601
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",17682548
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",17612089
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17023087
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",16184233
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",16060463
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",16022089
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",15977890
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",15976943
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA",15280194
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",14308014
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",13986055
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",13916694
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",13869140
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ",13751425
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",13169177
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",13145077
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",13130667
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",13082859
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",12930641
F.N.B. CORPORATION (3005332),"HERMITAGE, PA",12790279
FIRST BANCORP (2744894),"SAN JUAN, PR",12787450
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12076658
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11888008
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",11807815
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",11805197
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",11573058
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11269306
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",10821446
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",10797757
