Institution Name (RSSD ID),Location,12/31/2012 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2359141000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2212004452
CITIGROUP INC. (1951350),"NEW YORK, NY",1864660000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1422968000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",938770000
MORGAN STANLEY (2162966),"NEW YORK, NY",780960000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",548771829
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",359301000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",353855000
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",313680754
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",313040688
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",305285879
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",237037712
STATE STREET CORPORATION (1111435),"BOSTON, MA",222229483
TD BANK US HOLDING COMPANY (1249196),"PORTLAND, ME",218916640
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",183872371
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",182347000
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",173566088
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",168343642
"PRINCIPAL FINANCIAL GROUP, INC. (3853449)","DES MOINES, IA",161926542
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",153418000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",133637000
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",127411731
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",121500604
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",121347388
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",116109476
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",115747377
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",114933159
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",97463845
UNIONBANCAL CORPORATION (1378434),"SAN FRANCISCO, CA",96992464
KEYCORP (1068025),"CLEVELAND, OH",89425613
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",85790202
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",82985468
BANCWEST CORPORATION (1025608),"HONOLULU, HI",79869488
THRIVENT FINANCIAL FOR LUTHERANS (3173736),"MINNEAPOLIS, MN",77444933
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",74148000
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",73491315
"BBVA USA BANCSHARES, INC. (1078529)","HOUSTON, TX",69105796
COMERICA INCORPORATED (1199844),"DALLAS, TX",65398175
