Institution Name (RSSD ID),Location,12/31/2012 Total Assets
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",56153185
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",55511918
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",48642000
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",47386739
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",44149466
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",44012251
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",40596341
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",36912808
"POPULAR, INC. (1129382)","SAN JUAN, PR",36508000
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",30993057
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",30317936
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",28618492
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",28146503
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",27844699
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",26760012
IMB HOLDCO LLC (3923614),"PASADENA, CA",25938843
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",25521022
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",25125736
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",23487735
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",23205702
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",22766602
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",22536282
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",22275971
"MACY'S, INC. (4103310)","CINCINNATI, OH",22270036
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",22176815
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",21283651
W.R. BERKLEY CORPORATION (3065541),"GREENWICH, CT",20155896
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",20152255
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",19523765
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",18981340
AMERITAS MUTUAL HOLDING COMPANY (3910641),"LINCOLN, NE",18502196
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",18281032
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",18242878
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18037667
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",17519613
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",16509261
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",16496642
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",16409360
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",16012646
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",14927196
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",14916022
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",14601394
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA",14261070
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",14082012
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",14057515
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",13789923
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13401898
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",13233050
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",13129678
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",13106842
FIRST BANCORP (2744894),"SAN JUAN, PR",13099741
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",12874974
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ",12765099
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",12385909
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",12375953
F.N.B. CORPORATION (3005332),"HERMITAGE, PA",12023976
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",11882673
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",11804699
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11379590
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",10694089
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",10540873
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",10149132
