Institution Name (RSSD ID),Location,12/31/2012 Total Assets,03/31/2013 Total Assets,06/30/2013 Total Assets,09/30/2013 Total Assets,12/31/2013 Total Assets,03/31/2014 Total Assets,06/30/2014 Total Assets,09/30/2014 Total Assets,12/31/2014 Total Assets,03/31/2015 Total Assets,06/30/2015 Total Assets,09/30/2015 Total Assets,12/31/2015 Total Assets,03/31/2016 Total Assets,06/30/2016 Total Assets,Total Sum
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",0,11850515,11863312,11805197,11790383,12057054,12119996,12096316,12250633,12179164,12182448,12390276,12678896,12775196,13030349,171069735
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",0,0,11991050,11888008,11647170,11575745,11581188,11688202,11659386,11882771,11775081,12371566,12795071,12859663,12884030,156598931
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11379590,11121723,11136501,11269306,11381407,11534400,11715978,11803153,12067800,12133651,12259463,12368842,12390594,12466521,12624307,177653236
FIRST BANCORP (2744894),"SAN JUAN, PR",13099741,13005877,12803169,12787450,12656925,12819428,12523251,12643280,12727835,13147919,12578813,12820989,12573019,12714370,12508702,191410768
MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",0,0,0,0,0,0,0,0,0,10843278,11682787,11717650,11605700,11988136,12301042,70138593
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",0,0,0,0,0,0,0,0,0,11621045,11674358,11770295,12041047,12106043,12292830,71505618
BANK OF THE OZARKS INC (1097089),"LITTLE ROCK, AR",0,0,0,0,0,0,0,0,0,0,0,0,0,11427419,12279579,23706998
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",10149132,10298569,10238145,10429012,10340044,10458070,10617143,10670471,11184161,11273447,11439631,11573466,11790196,11870506,11979239,164311232
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",11882673,11520172,11596913,12076658,12079477,12144185,12436467,12079187,12196520,12374402,12074129,12052216,11772869,11878689,11776640,179941197
"GREAT WESTERN BANCORP, INC. (4809920)","SIOUX FALLS, SD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11453222,11453222
BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",0,0,0,0,0,0,0,0,0,0,10063759,10325850,10723184,10929047,11340612,53382452
"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,10728922,10995810,21724732
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",0,0,0,10047710,10262625,10406821,10519027,10573699,10697206,10826914,10887809,10848819,10092985,10182556,10264654,125610825
"BANC OF CALIFORNIA, INC. (3153130)","IRVINE, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10157662,10157662
EASTERN BANK CORPORATION (1427239),"BOSTON, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10025463,10025463
