Institution Name (RSSD ID),Location,12/31/2013 Total Assets
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",15046649
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14404373
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",14127598
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",14113477
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",14085746
F.N.B. CORPORATION (3005332),"HERMITAGE, PA",13563405
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",13398445
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",13384848
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",13365550
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13045442
FIRST BANCORP (2744894),"SAN JUAN, PR",12656925
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12079477
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",11790383
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",11714698
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11647170
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",11641151
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11381407
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",10989286
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",10340044
STERLING FINANCIAL CORPORATION (3152245),"SPOKANE, WA",10327642
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10262625
