Institution Name (RSSD ID),Location,06/30/2014 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2519995000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2172001000
CITIGROUP INC. (1951350),"NEW YORK, NY",1909369000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1598874000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",860008000
MORGAN STANLEY (2162966),"NEW YORK, NY",826524000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",516270747
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",400740000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",389065000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",327251474
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",298653928
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",289551194
STATE STREET CORPORATION (1111435),"BOSTON, MA",282324972
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",256932841
TD BANK US HOLDING COMPANY (1249196),"CHERRY HILL, NJ",236008197
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",188012330
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",182585899
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",152384000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",149937000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",143401000
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",135478405
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",132562382
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",130579630
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",129066684
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",119013705
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",116160559
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",112512985
UNIONBANCAL CORPORATION (1378434),"SAN FRANCISCO, CA",108823027
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",105761163
KEYCORP (1068025),"CLEVELAND, OH",91934784
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",90835002
BANCWEST CORPORATION (1025608),"HONOLULU, HI",86617152
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",78936814
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",75747100
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",69406000
COMERICA INCORPORATED (1199844),"DALLAS, TX",65386081
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",63797113
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",55111275
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",48604772
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",45748395
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",44152666
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",38632971
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",37700645
"POPULAR, INC. (1129382)","SAN JUAN, PR",36588000
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",36486505
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",34923883
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",34182325
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",33889076
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",33615965
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",33322533
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",30819092
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",27853768
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",27556917
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",26627290
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",26584688
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",25727786
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",25710230
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",24566414
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",24223920
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",23070287
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",23016162
IMB HOLDCO LLC (3923614),"PASADENA, CA",22566793
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",22123208
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",22066064
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",22062840
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",21531479
"MACY'S, INC. (4103310)","CINCINNATI, OH",21317986
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",21253920
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",19753820
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",19355777
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",18911548
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",18889866
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18506626
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",17389665
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17010044
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",17008323
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",16754901
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA",16563673
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",16335967
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15742065
PACWEST BANCORP (2875332),"LOS ANGELES, CA",15685562
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",15562690
