Institution Name (RSSD ID),Location,06/30/2014 Total Assets
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",15325042
F.N.B. CORPORATION (3005332),"HERMITAGE, PA",15019247
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",14884625
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14789955
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",14730285
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",14602404
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",13941733
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",13827163
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",13532830
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",12989487
FIRST BANCORP (2744894),"SAN JUAN, PR",12523251
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12436467
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12119996
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",12051710
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11715978
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11581188
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",11556822
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",10848073
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",10617143
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10519027
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",10387956
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",10023587
