Institution Name (RSSD ID),Location,09/30/2015 Total Assets
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",35636495
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",35579796
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",35575724
"POPULAR, INC. (1129382)","SAN JUAN, PR",35528000
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",35121018
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",35063293
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",31449824
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",31119855
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",30601382
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",28403675
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",28167827
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",27467243
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",26620161
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",26474162
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",26163730
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",25388586
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",25255384
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",25214743
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",24083042
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",23989012
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",23173041
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",22537671
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",22259828
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",22053870
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",21615845
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",21567944
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",20336160
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",20141423
"MACY'S, INC. (4103310)","CINCINNATI, OH",20115945
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",19571532
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",19534225
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",18666031
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",18597965
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17795149
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",17721789
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",16894605
F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",16836073
PACWEST BANCORP (2875332),"LOS ANGELES, CA",16814792
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",15602572
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",15228349
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15099204
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",15097919
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",14950100
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",14635439
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14568324
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",13955570
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13786921
FIRST BANCORP (2744894),"SAN JUAN, PR",12820989
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",12749966
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",12556929
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",12519193
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12390276
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",12389456
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",12371566
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",12368842
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12052216
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",11915290
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",11770295
MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",11717650
STERLING BANCORP (3083291),"MONTEBELLO, NY",11606117
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",11573466
"NORDSTROM, INC. (1760589)","SEATTLE, WA",10955052
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10848819
BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",10325850
