Institution Name (RSSD ID),Location,09/30/2015 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2417121000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2154342000
CITIGROUP INC. (1951350),"NEW YORK, NY",1808356000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1751265000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",880607000
MORGAN STANLEY (2162966),"NEW YORK, NY",834113000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",436641069
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",415943000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",377371000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",362137164
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",313827584
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",291611246
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",268247053
TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",261164836
STATE STREET CORPORATION (1111435),"BOSTON, MA",247273625
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",208808671
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",187255650
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",170402000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",156105000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",154205000
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",141917763
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",135916817
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",135811131
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",135372076
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",130930367
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",125419384
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",124891540
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",119995234
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",115163500
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",97797062
KEYCORP (1068025),"CLEVELAND, OH",95476859
BANCWEST CORPORATION (1025608),"HONOLULU, HI",92869993
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",89360000
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",85611791
COMERICA INCORPORATED (1199844),"DALLAS, TX",71212885
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",70210178
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",68125502
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",58410927
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",57375000
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",49045482
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",41733585
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",41206541
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",39418193
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",37465985
