Institution Name (RSSD ID),Location,03/31/2013 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2389349000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2176625000
CITIGROUP INC. (1951350),"NEW YORK, NY",1881734000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1436634000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",959426000
MORGAN STANLEY (2162966),"NEW YORK, NY",801383000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",537952605
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",355984000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",355447000
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",301737107
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",300945933
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",300293699
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",239972203
TD BANK US HOLDING COMPANY (1249196),"PORTLAND, ME",222716131
STATE STREET CORPORATION (1111435),"BOSTON, MA",217852811
"PRINCIPAL FINANCIAL GROUP, INC. (3853449)","DES MOINES, IA",200762850
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",180836757
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",172527629
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",171812600
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",166199000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",156903000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",133324000
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",126322821
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",122361785
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",120789641
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",120085692
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",119886059
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",119717632
UNIONBANCAL CORPORATION (1378434),"SAN FRANCISCO, CA",96959643
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",93156775
KEYCORP (1068025),"CLEVELAND, OH",89441210
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",82794833
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",82733574
THRIVENT FINANCIAL FOR LUTHERANS (3173736),"MINNEAPOLIS, MN",79537291
BANCWEST CORPORATION (1025608),"HONOLULU, HI",78851727
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",76139250
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",75523000
"BBVA USA BANCSHARES, INC. (1078529)","HOUSTON, TX",69639420
COMERICA INCORPORATED (1199844),"DALLAS, TX",64975279
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",56054966
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",54110564
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",48613134
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",44966314
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",44563888
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",44511718
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",40283892
"POPULAR, INC. (1129382)","SAN JUAN, PR",36943000
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",36887625
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",31422988
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",30581737
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",29028299
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",27442638
