Institution Name (RSSD ID),Location,03/31/2013 Total Assets
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",27433754
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",26212879
IMB HOLDCO LLC (3923614),"PASADENA, CA",25416957
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",25167457
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",24765823
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",23277768
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",23102005
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",22802242
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",22735145
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",22560339
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",22240695
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",21351012
"MACY'S, INC. (4103310)","CINCINNATI, OH",20991349
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",20116020
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",19610828
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",19092456
AMERITAS MUTUAL HOLDING COMPANY (3910641),"LINCOLN, NE",18833506
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",18540469
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",18306488
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",17967174
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",17074247
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",16659671
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",16210524
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",16028703
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",15890934
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",15705470
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",15273159
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",15085425
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA",14710099
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",14294687
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",13563474
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13395806
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",13372230
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",13115833
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",13094150
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",13078898
FIRST BANCORP (2744894),"SAN JUAN, PR",13005877
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",12951199
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ",12890433
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",12745930
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",12695879
F.N.B. CORPORATION (3005332),"HERMITAGE, PA",11997990
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",11850515
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",11520172
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",11500124
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11121723
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",10577894
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",10520715
MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",10441287
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",10298569
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",10020871
