Institution Name (RSSD ID),Location,06/30/2013 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2439494000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2125686000
CITIGROUP INC. (1951350),"NEW YORK, NY",1883988000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1440563000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",938611000
MORGAN STANLEY (2162966),"NEW YORK, NY",802691000
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY",537438000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",529030139
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",360514000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",353415000
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",319108739
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",304547667
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",296670314
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",243168123
TD BANK US HOLDING COMPANY (1249196),"PORTLAND, ME",228945721
STATE STREET CORPORATION (1111435),"BOSTON, MA",226985363
"PRINCIPAL FINANCIAL GROUP, INC. (3853449)","DES MOINES, IA",196512705
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",182735153
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",172019212
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",171609928
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",151980000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",150627000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",135907000
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",122642935
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",120296114
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",119778457
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",118782563
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",118137679
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",112349784
UNIONBANCAL CORPORATION (1378434),"SAN FRANCISCO, CA",102261564
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",97236008
KEYCORP (1068025),"CLEVELAND, OH",90858779
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",83229005
BANCWEST CORPORATION (1025608),"HONOLULU, HI",80069917
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",79218184
THRIVENT FINANCIAL FOR LUTHERANS (3173736),"MINNEAPOLIS, MN",78901854
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",74944466
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",71992000
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",69674976
COMERICA INCORPORATED (1199844),"DALLAS, TX",63013097
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",56113687
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",54904540
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",48612915
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",45006525
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",44631022
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",44185838
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",39696453
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",37171775
"POPULAR, INC. (1129382)","SAN JUAN, PR",36685000
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",31386118
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",31317391
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",30737599
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",27806179
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",27379501
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",26563174
IMB HOLDCO LLC (3923614),"PASADENA, CA",25468760
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",25134331
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",24571720
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",23616944
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",23534261
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",23314135
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",22596340
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",22214191
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",22165054
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",21921322
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",21308822
"MACY'S, INC. (4103310)","CINCINNATI, OH",21039759
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",20334463
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",20307832
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",18954524
AMERITAS MUTUAL HOLDING COMPANY (3910641),"LINCOLN, NE",18554575
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",18432662
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",18362872
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18083039
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",17613546
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17001720
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",16275854
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",16101065
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",15977202
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",15466494
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",15253217
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA",15214337
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",14160917
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",13787068
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",13476493
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ",13314260
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",13233425
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13220451
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",13022264
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",13012483
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",12950314
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",12823503
FIRST BANCORP (2744894),"SAN JUAN, PR",12803169
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",12735017
F.N.B. CORPORATION (3005332),"HERMITAGE, PA",12573391
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11991050
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",11863312
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",11596913
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",11396288
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11136501
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",10978295
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",10603235
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",10481397
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",10238145
