Institution Name (RSSD ID),Location,09/30/2014 Total Assets
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",23987518
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",23325652
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",22710961
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",22493824
IMB HOLDCO LLC (3923614),"PASADENA, CA",22011643
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",21942491
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",21841501
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",21125064
"MACY'S, INC. (4103310)","CINCINNATI, OH",20619281
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",20510343
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",19996647
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",19184183
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",19052948
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18583327
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",17781789
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",17680739
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17209511
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",17082710
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",16726410
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",16284028
PACWEST BANCORP (2875332),"LOS ANGELES, CA",15939057
F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",15757045
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",15516609
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15460281
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",15190468
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",14969471
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14756041
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",14577913
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",14506043
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",14266857
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",14052107
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",13999399
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13074902
FIRST BANCORP (2744894),"SAN JUAN, PR",12643280
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12096316
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",12085063
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12079187
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",11803153
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11688202
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",11599466
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",11179846
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",10967840
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",10670471
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10573699
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",10288824
"NORDSTROM, INC. (1760589)","SEATTLE, WA",10144127
