Institution Name (RSSD ID),Location,09/30/2014 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2526655000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2126138000
CITIGROUP INC. (1951350),"NEW YORK, NY",1882505000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1636855000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",868995000
MORGAN STANLEY (2162966),"NEW YORK, NY",814511000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",514312251
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",391284000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",386296000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",334602342
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",300444020
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",280272469
STATE STREET CORPORATION (1111435),"BOSTON, MA",274815393
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",261389220
TD BANK US HOLDING COMPANY (1249196),"CHERRY HILL, NJ",242225156
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",187021509
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",186860815
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",153862000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",149195000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",147445000
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",137646089
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",134187722
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",131520691
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",129191103
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",119791374
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",119301813
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",113538172
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",111153721
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",110882044
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",97230366
KEYCORP (1068025),"CLEVELAND, OH",89884477
BANCWEST CORPORATION (1025608),"HONOLULU, HI",86894858
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",80596481
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",79187065
COMERICA INCORPORATED (1199844),"DALLAS, TX",68949210
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",64330629
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",60715000
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",55458870
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",48679772
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",46480980
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",45818844
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",37977082
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",37231381
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",37161125
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",36044135
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",35316750
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",34764455
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",34377381
"POPULAR, INC. (1129382)","SAN JUAN, PR",34099000
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",33915903
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",32015600
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",29103689
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",28481156
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",27411142
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",26519110
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",25653822
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",25260266
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",24610114
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",24158229
