Institution Name (RSSD ID),Location,12/31/2014 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2572773000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2106796000
CITIGROUP INC. (1951350),"NEW YORK, NY",1842181000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1687155000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",856301000
MORGAN STANLEY (2162966),"NEW YORK, NY",801510000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",508255287
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",402529000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",385303000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",345243081
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",309083481
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",290100702
STATE STREET CORPORATION (1111435),"BOSTON, MA",274119072
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",262634190
TD BANK US HOLDING COMPANY (1249196),"CHERRY HILL, NJ",248144842
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",190446755
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",186813987
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",159103000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",154642000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",151828000
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",138797903
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",138705640
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",133000128
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",130416573
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",119888669
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",118353279
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",115879565
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",113678090
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",109946485
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",96687224
KEYCORP (1068025),"CLEVELAND, OH",93882115
BANCWEST CORPORATION (1025608),"HONOLULU, HI",89766710
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",83152427
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",83125845
COMERICA INCORPORATED (1199844),"DALLAS, TX",69452409
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",66298010
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",57208874
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",55541200
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",48559217
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",47879974
E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",45529729
SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",39351768
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",38557544
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",36569082
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",36331380
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",35985913
NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",34711195
MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",34481170
JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",33736295
"POPULAR, INC. (1129382)","SAN JUAN, PR",33097000
CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",32610363
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",30075113
BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",29148050
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",28738323
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",28347544
SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",27051231
ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",26821774
FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",25674034
BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",25013660
FIRSTMERIT CORPORATION (1070804),"AKRON, OH",24909640
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",24253246
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",24015123
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",23978600
UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",22622204
WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",22545351
"MACY'S, INC. (4103310)","CINCINNATI, OH",22424584
IMB HOLDCO LLC (3923614),"PASADENA, CA",21871146
EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",21617788
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",21519443
HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",20752202
WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",20032438
TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",19427476
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",19210520
VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",18793855
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",18722282
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",18661390
UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",17500960
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",17465465
FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",17083180
PACWEST BANCORP (2875332),"LOS ANGELES, CA",16236505
F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",16127090
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",15900308
IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",15758605
ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",15640021
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",15603382
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",14970127
BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",14859360
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",14602099
FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",14542268
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",14494756
MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",14131105
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",13326530
FIRST BANCORP (2744894),"SAN JUAN, PR",12727835
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",12328811
TRUSTMARK CORPORATION (1079562),"JACKSON, MS",12250633
INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",12196520
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",12067800
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",11659386
OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",11647778
CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",11516846
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",11184161
COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",10697206
"NORDSTROM, INC. (1760589)","SEATTLE, WA",10616919
WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",10600498
